number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
899,F,50-64,15/4/2018,18-Apr,3,5,4,3,3,3,3,3,Domestic,Economy,Charleston - Philadelphia
900,F,50-64,15/4/2018,18-Apr,3,5,4,4,3,5,4,5,Domestic,Economy,Boston - Las Vegas
901,M,50-64,15/4/2018,18-Apr,3,4,5,2,4,3,4,5,Domestic,Economy,Fort Myers - San Francisco
902,M,50-64,15/4/2018,18-Apr,3,4,3,3,3,3,3,4,Domestic,Economy,Philadelphia - Dallas
903,M,50-64,15/4/2018,,4,4,4,3,3,3,4,4,Domestic,Economy,Burlington - Charlotte
904,M,50-64,14/4/2018,17-Oct,4,5,5,4,5,4,3,5,Domestic,Business Class,San Francisco - New York City
905,M,50-64,14/4/2018,18-Apr,4,1,4,3,4,4,2,2,International,Economy,Vancouver - London
906,M,50-64,14/4/2018,,4,5,5,3,4,3,4,4,International,Economy,Dallas - Madrid
907,M,50-64,14/4/2018,18-Mar,3,4,4,3,4,3,4,4,Domestic,Economy,Portland - Jacksonville
908,M,35-49,14/4/2018,18-Apr,3,5,4,1,3,1,4,4,Domestic,Economy,Tampa - Phoenix
909,M,65+,14/4/2018,18-Apr,3,4,3,3,3,4,3,3,Domestic,Economy,Dallas - Raleigh
910,M,65+,14/4/2018,18-Apr,4,4,4,3,3,4,3,5,Domestic,Economy,Phoenix - Dallas
911,F,50-64,13/4/2018,18-Mar,3,4,4,4,3,5,4,3,International,Economy,Sydney - Charleston
912,F,65+,13/4/2018,18-Apr,3,5,4,3,4,5,4,4,International,Economy,Rio de Janeiro - Los Angeles
913,M,50-64,13/4/2018,18-Apr,5,5,5,5,5,5,4,3,Domestic,First Class,Maui - Austin
914,F,35-49,13/4/2018,18-Apr,4,4,5,4,4,5,5,5,International,Economy,Fort Lauderdale - Athens
915,M,35-49,13/4/2018,18-Apr,1,2,1,3,4,1,1,2,Domestic,Economy,Orlando - Milwaukee
916,M,65+,13/4/2018,18-Apr,5,5,5,5,5,5,5,5,Domestic,First Class,Washington DC - Las Vegas
917,M,65+,2018/12/4 0:00,18-Apr,1,4,4,3,1,5,2,4,International,Economy,Philadelphia - Basel
918,F,65+,2018/12/4 0:00,18-Apr,3,5,5,2,3,3,4,5,Domestic,Economy,Las Vegas - Charlotte
919,M,25-34,2018/12/4 0:00,18-Feb,4,4,5,3,4,3,5,3,Domestic,First Class,Dallas - Charlotte
920,M,50-64,2018/12/4 0:00,18-Apr,2,5,4,3,2,3,4,4,Domestic,Economy,New Orleans - Raleigh
921,M,25-34,2018/12/4 0:00,17-May,4,4,5,4,4,5,5,1,Domestic,First Class,Denver - Dallas
922,M,50-64,2018/12/4 0:00,18-Mar,1,1,1,1,1,1,1,1,Domestic,First Class,Hartford - Seattle
923,M,65+,2018/12/4 0:00,18-Apr,4,5,5,5,4,4,5,5,Mexico,Economy,Dallas - Los Cabos
924,F,35-49,2018/12/4 0:00,18-Feb,2,2,4,2,2,1,2,4,USA,Economy,Cancun - Dallas
925,F,18-24,2018/12/4 0:00,,3,4,3,2,2,1,2,2,Caribbean,Economy,Orlando - St. Thomas
926,M,65+,2018/12/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,Economy,Phoenix - Charlotte
927,M,65+,2018/12/4 0:00,18-Mar,4,5,5,4,4,4,4,5,Mexico,Economy,Philadelphia - Cancun
928,F,35-49,2018/12/4 0:00,18-Apr,3,2,3,3,3,1,3,2,USA,Economy,Montreal - Chicago
929,F,50-64,2018/12/4 0:00,18-Apr,5,5,4,4,5,4,4,4,Domestic,First Class,Minneapolis - Phoenix
930,M,65+,2018/12/4 0:00,18-Apr,3,3,4,3,3,3,2,3,Domestic,Economy,Baltimore - Chicago
931,M,35-49,2018/12/4 0:00,18-Apr,4,4,4,2,3,4,4,5,International,Economy,New York City - London
932,M,65+,2018/12/4 0:00,,4,4,4,4,4,2,4,4,International,Economy,Los Angeles - Tokyo
933,M,50-64,2018/11/4 0:00,,3,5,4,1,4,4,2,3,Domestic,Economy,Jacksonville - Las Vegas
934,M,35-49,2018/11/4 0:00,18-Mar,3,4,4,3,3,3,4,3,USA,Economy,Vancouver - Miami
935,M,65+,2018/11/4 0:00,18-Apr,3,3,3,4,3,2,3,3,International,Business Class,Miami - Guatemala City
936,M,65+,2018/11/4 0:00,,4,5,5,3,4,1,3,4,Domestic,Economy,Chicago - Salt Lake City
937,M,50-64,2018/11/4 0:00,18-Mar,3,4,4,4,3,3,4,3,International,Economy,Philadelphia - Rome
938,M,35-49,2018/11/4 0:00,17-Nov,3,3,4,3,3,4,3,4,Domestic,Economy,Kansas City - Akron
939,F,50-64,2018/11/4 0:00,,2,1,3,1,2,3,3,2,International,Economy,Charlotte - London
940,M,50-64,2018/11/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,Economy,Dallas - Saint Louis
941,M,50-64,2018/11/4 0:00,18-Feb,5,5,5,5,5,5,5,5,Domestic,Economy,Saint Louis - Dallas
942,M,50-64,2018/11/4 0:00,18-Apr,4,3,3,3,5,4,3,1,International,Business Class,Dallas - Beijing
943,M,50-64,2018/11/4 0:00,18-Mar,3,5,5,2,3,2,4,5,Caribbean,Economy,Kalamazoo - St. Croix
944,M,65+,2018/11/4 0:00,17-Jun,4,5,4,4,5,4,4,4,International,First Class,Hamilton - Philadelphia
945,M,50-64,2018/11/4 0:00,18-Mar,3,5,5,4,4,4,3,5,International,Economy,Philadelphia - Rome
946,M,65+,2018/11/4 0:00,,3,2,5,3,3,2,2,2,Domestic,Economy,Fort Myers - Washington DC
947,M,65+,2018/11/4 0:00,18-Mar,2,1,5,3,5,5,2,5,International,Business Class,Dallas - London
948,M,50-64,2018/10/4 0:00,18-Apr,4,4,5,4,4,5,5,4,International,Economy,London - Raleigh
949,M,65+,2018/10/4 0:00,,3,5,4,3,4,3,3,4,Domestic,Economy,Miami - San Diego
950,F,65+,2018/10/4 0:00,18-Mar,3,4,3,3,3,3,4,4,Domestic,Economy,Charlotte - Melbourne
951,F,50-64,2018/10/4 0:00,18-Apr,4,3,3,3,3,2,3,4,Domestic,Economy,Philadelphia - Chicago
952,M,50-64,2018/10/4 0:00,18-Apr,3,4,4,3,3,2,3,3,International,Economy,Miami - Lima
953,M,65+,2018/10/4 0:00,18-Apr,4,3,3,3,4,2,2,3,Domestic,First Class,Houston - Chicago
954,F,35-49,2018/10/4 0:00,18-Feb,5,1,3,1,4,4,2,2,International,Economy,Miami - Santiago
955,M,50-64,2018/10/4 0:00,18-Mar,4,4,4,3,3,2,4,4,Domestic,Economy,Wilmington - Portland
956,F,35-49,2018/10/4 0:00,18-Mar,3,3,4,4,3,2,4,4,Domestic,Economy,Detroit - New York City
957,F,65+,2018/10/4 0:00,18-Mar,5,5,5,4,4,5,4,5,Domestic,Economy,San Angelo - Albany
958,M,50-64,2018/10/4 0:00,18-Mar,3,3,4,3,3,4,3,4,International,Economy,Denver - Rome
959,M,50-64,2018/10/4 0:00,18-Apr,4,3,4,3,4,3,4,3,Domestic,Economy,Colorado Springs - Norfolk
960,F,50-64,2018/10/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,First Class,Dallas - Orlando
961,M,35-49,2018/10/4 0:00,17-Sep,3,5,5,4,3,5,5,5,International,Economy,Los Angeles - Hong Kong
962,F,13-17,2018/10/4 0:00,18-Mar,5,5,5,5,5,5,5,5,International,First Class,Dallas - Florence
963,M,50-64,2018/10/4 0:00,,3,4,4,3,2,3,4,4,Domestic,Economy,Saint Louis - Philadelphia
964,M,50-64,2018/10/4 0:00,18-Apr,1,3,3,2,2,2,1,3,Caribbean,Economy,Jackson - San Juan
965,F,65+,2018/10/4 0:00,18-Apr,4,1,3,3,4,4,3,1,Caribbean,First Class,Minneapolis - Antigua
966,M,50-64,2018/10/4 0:00,18-Apr,4,5,5,5,5,3,4,5,Domestic,First Class,Orlando - Los Angeles
967,F,50-64,2018/10/4 0:00,17-May,3,4,4,3,3,4,3,5,Domestic,Economy,Sacramento - Orlando
968,M,50-64,2018/10/4 0:00,18-Jan,4,4,4,4,4,3,4,5,Domestic,First Class,Los Angeles - New York City
969,M,50-64,2018/10/4 0:00,17-Dec,4,5,5,4,5,5,5,5,International,Economy,Orlando - Buenos Aires
970,M,50-64,2018/10/4 0:00,18-Apr,3,1,2,3,3,3,3,5,Domestic,Economy,Ontario - Madison
971,F,50-64,2018/10/4 0:00,18-Apr,2,3,3,1,2,1,2,1,Canada,Economy,Los Angeles - Vancouver
972,F,50-64,2018/10/4 0:00,18-Mar,2,5,4,1,2,5,3,5,International,Economy,San Antonio - Paris
973,M,35-49,2018/10/4 0:00,18-Feb,4,4,4,4,4,1,3,4,International,Economy,Hamilton - Miami
974,M,50-64,2018/10/4 0:00,18-Feb,5,5,5,4,5,3,4,4,Domestic,Economy,Charlotte - Hartford
975,M,50-64,2018/10/4 0:00,18-Apr,3,3,4,2,2,1,3,4,Domestic,Economy,Miami - Portland
976,M,35-49,2018/10/4 0:00,17-Sep,5,5,5,4,4,5,5,5,International,Economy,Dallas - Tokyo
977,M,65+,2018/10/4 0:00,18-Jan,5,5,5,5,5,5,4,5,Domestic,First Class,Boston - Miami
978,M,65+,2018/10/4 0:00,18-Mar,4,4,4,2,4,4,3,2,Domestic,Economy,Norfolk - Denver
979,M,50-64,2018/10/4 0:00,18-Apr,4,5,4,4,5,4,3,4,International,Business Class,Texarkana - Bangkok
980,F,50-64,2018/10/4 0:00,18-Apr,5,4,3,3,5,4,3,4,International,Business Class,Shreveport - Guayaquil
981,F,50-64,2018/10/4 0:00,18-Apr,5,5,5,4,5,5,4,5,Caribbean,First Class,Saint Louis - Santo Domingo
982,M,50-64,2018/10/4 0:00,18-Apr,5,4,5,4,5,4,4,5,International,Business Class,New York City - London
983,M,50-64,2018/10/4 0:00,18-Jan,3,4,4,3,4,4,4,5,Mexico,Economy,Miami - Cozumel
984,F,50-64,2018/10/4 0:00,18-Mar,3,3,3,3,4,4,3,3,Domestic,Economy,Boston - Los Angeles
985,M,50-64,2018/10/4 0:00,18-Mar,3,3,3,3,3,3,3,3,Domestic,Economy,Dallas - Tampa
986,M,65+,2018/10/4 0:00,18-Apr,2,1,2,2,3,2,3,1,Canada,Economy,Phoenix - Toronto
987,F,50-64,2018/9/4 0:00,,4,4,4,4,3,5,2,4,International,Economy,Honolulu - Quito
988,M,65+,2018/9/4 0:00,18-Mar,3,3,3,1,3,1,3,4,Domestic,Economy,Wilmington - Phoenix
989,M,65+,2018/9/4 0:00,18-Mar,3,5,3,3,3,4,3,1,Domestic,Economy,Denver - Lihue
990,M,50-64,2018/9/4 0:00,18-Mar,1,1,3,1,1,5,1,3,International,Economy,Los Angeles - Hong Kong
991,F,65+,2018/9/4 0:00,,3,3,3,4,4,3,3,3,International,Business Class,Panama City - Miami
992,M,50-64,2018/9/4 0:00,18-Mar,3,4,4,4,4,4,3,4,Domestic,Economy,San Francisco - Philadelphia
993,F,50-64,2018/9/4 0:00,18-Apr,5,5,5,5,5,5,5,5,International,Economy,Grand Junction - Madrid
994,M,65+,2018/9/4 0:00,18-Apr,3,1,1,1,3,1,1,1,Domestic,Economy,Los Angeles - Honolulu
995,M,35-49,2018/9/4 0:00,18-Feb,3,4,4,4,3,5,4,4,Domestic,Economy,Detroit - Miami
996,M,65+,2018/9/4 0:00,18-Apr,4,4,4,4,3,4,5,4,Domestic,Economy,Miami - Houston
997,M,50-64,2018/9/4 0:00,18-Mar,5,5,5,5,4,5,5,5,Domestic,Economy,Moline - Palm Springs
998,M,25-34,2018/9/4 0:00,18-Apr,4,5,4,3,4,3,4,3,Domestic,Economy,Boston - Charlotte
999,M,50-64,2018/9/4 0:00,18-Apr,3,4,4,3,3,3,3,4,Domestic,Economy,Dallas - Charlotte
